Date,Open,High,Low,Close,Adj Close,Volume,return,hamilton serie
1998-01-02,970.429993,975.039978,965.72998,975.039978,975.039978,366730000,,
1998-01-05,975.039978,982.630005,969,977.070007,977.070007,628070000,0.002081996,0.414695817
1998-01-06,977.070007,977.070007,962.679993,966.580017,966.580017,618360000,-0.01073617,0.375696048
1998-01-07,966.580017,966.580017,952.669983,964,964,667390000,-0.002669222,0.334592606
1998-01-08,964,964,955.039978,956.049988,956.049988,652140000,-0.0082469,0.223027083
1998-01-09,956.049988,956.049988,921.719971,927.690002,927.690002,746420000,-0.029663706,0.048001083
1998-01-12,927.690002,939.25,912.830017,939.210022,939.210022,705450000,0.012417963,0.099378625
1998-01-13,939.210022,952.140015,939.210022,952.119995,952.119995,646740000,0.013745566,0.167456389
1998-01-14,952.119995,958.119995,948,957.940002,957.940002,603280000,0.006112682,0.289241462
1998-01-15,957.940002,957.940002,950.27002,950.72998,950.72998,569050000,-0.00752659,0.348399676
1998-01-16,950.72998,965.119995,950.72998,961.51001,961.51001,670080000,0.011338687,0.381304608
1998-01-20,961.51001,978.599976,961.47998,978.599976,978.599976,644790000,0.017774091,0.416667245
1998-01-21,978.599976,978.599976,963.289978,970.809998,970.809998,626160000,-0.007960329,0.612099786
1998-01-22,970.809998,970.809998,959.48999,963.039978,963.039978,646570000,-0.008003646,0.732212909
1998-01-23,963.039978,966.440002,950.859985,957.590027,957.590027,635770000,-0.005659112,0.806362861
1998-01-26,957.590027,963.039978,954.23999,956.950012,956.950012,555080000,-0.00066836,0.840577779
1998-01-27,956.950012,973.22998,956.26001,969.02002,969.02002,679140000,0.012612997,0.850349842
1998-01-28,969.02002,978.630005,969.02002,977.460022,977.460022,708470000,0.008709832,0.866497665
1998-01-29,977.460022,992.650024,975.210022,985.48999,985.48999,750760000,0.008215137,0.876393155
1998-01-30,985.48999,987.409973,979.630005,980.280029,980.280029,613380000,-0.005286671,0.880593324
1998-02-02,980.280029,1002.47998,980.280029,1001.27002,1001.27002,724320000,0.02141224,0.875950092
1998-02-03,1001.27002,1006.130005,996.900024,1006,1006,692120000,0.00472398,0.947389355
1998-02-04,1006,1009.52002,999.429993,1006.900024,1006.900024,695420000,0.000894656,0.978461116
1998-02-05,1006.900024,1013.51001,1000.27002,1003.539978,1003.539978,703980000,-0.00333702,0.989629039
1998-02-06,1003.539978,1013.070007,1003.359985,1012.460022,1012.460022,569650000,0.008888579,0.993889732
1998-02-09,1012.460022,1015.330017,1006.280029,1010.73999,1010.73999,524810000,-0.001698864,0.997142861
1998-02-10,1010.73999,1022.150024,1010.710022,1019.01001,1019.01001,642800000,0.008182144,0.998218293
1998-02-11,1019.01001,1020.710022,1016.380005,1020.01001,1020.01001,599300000,0.000981345,0.999111371
1998-02-12,1020.01001,1026.300049,1008.549988,1024.140015,1024.140015,611480000,0.004048985,0.99938964
